subjId,roi,chromophore,blockIndex,blockMean,nChannels
sub-003,PFC,HbO,1,-9.33476751062579e-08,17
sub-003,PFC,HbR,1,-1.04171529921992e-07,17
sub-003,PFC,HbO,2,3.57324053942618e-08,17
sub-003,PFC,HbR,2,2.10771936574696e-09,17
sub-003,PFC,HbO,3,1.14967781561912e-07,17
sub-003,PFC,HbR,3,7.78391431368331e-08,17
sub-003,PFC,HbO,4,2.92952668831315e-07,17
sub-003,PFC,HbR,4,-1.16228699208784e-07,17
sub-003,PFC,HbO,5,3.6448749431905e-07,17
sub-003,PFC,HbR,5,-1.07546384952435e-07,17
sub-003,PFC,HbO,6,-1.4660493322353e-07,17
sub-003,PFC,HbR,6,-1.06860742488284e-07,17
sub-003,PFC,HbO,7,6.06303955606467e-08,17
sub-003,PFC,HbR,7,1.10277318347653e-07,17
sub-003,PFC,HbO,8,-6.05875761839107e-08,17
sub-003,PFC,HbR,8,3.95532605275154e-09,17
sub-003,Parietal,HbO,1,6.10384315333039e-08,4
sub-003,Parietal,HbR,1,-5.91084193929186e-08,4
sub-003,Parietal,HbO,2,2.46159269437435e-07,4
sub-003,Parietal,HbR,2,-5.06610287931658e-08,4
sub-003,Parietal,HbO,3,3.35080657865427e-07,4
sub-003,Parietal,HbR,3,-2.78265181608657e-08,4
sub-003,Parietal,HbO,4,5.8538088985362e-07,4
sub-003,Parietal,HbR,4,-1.29661443886749e-08,4
sub-003,Parietal,HbO,5,5.15554326289365e-07,4
sub-003,Parietal,HbR,5,1.50887118138889e-08,4
sub-003,Parietal,HbO,6,1.03648178435229e-08,4
sub-003,Parietal,HbR,6,-4.02879730489798e-08,4
sub-003,Parietal,HbO,7,2.50739843664021e-07,4
sub-003,Parietal,HbR,7,-3.16044910169234e-08,4
sub-003,Parietal,HbO,8,6.8405008229666e-08,4
sub-003,Parietal,HbR,8,3.94898010975038e-08,4
sub-003,Temporal,HbO,1,6.71850227723546e-08,14
sub-003,Temporal,HbR,1,-7.2297993908653e-08,14
sub-003,Temporal,HbO,2,4.59414216930947e-08,14
sub-003,Temporal,HbR,2,1.3103027515476e-08,14
sub-003,Temporal,HbO,3,1.33477327144818e-07,14
sub-003,Temporal,HbR,3,6.0243458382951e-08,14
sub-003,Temporal,HbO,4,1.8329259935957e-07,14
sub-003,Temporal,HbR,4,-2.19242121434242e-08,14
sub-003,Temporal,HbO,5,1.6814172515878e-07,14
sub-003,Temporal,HbR,5,-1.49737883948576e-07,14
sub-003,Temporal,HbO,6,-6.85580884256506e-08,14
sub-003,Temporal,HbR,6,-1.33804956314674e-07,14
sub-003,Temporal,HbO,7,1.26385132854501e-07,14
sub-003,Temporal,HbR,7,7.31149193892562e-09,14
sub-003,Temporal,HbO,8,7.06645242521641e-08,14
sub-003,Temporal,HbR,8,-3.99257113602886e-08,14
